ID,Title,First_Name,Middle_Name,Other_Name,Last_Name,Maiden_Name,Servant,Servant_type,Age,Orig_Addr,Class,Survived,Survived_text,Boarded,Dest_Addr,Lifeboat,Body,latitude,longitude
'128','Mrs.','Lily','May','','Futrelle','Peel','0','','35','Scituate, Massachusetts, USA','First','1','Survived','Southampton','Scituate, Massachusetts, USA','D','',42.200045,-70.772369
'129','Mr.','Arthur','H.','','Gee','','0','','47','St. Annes-on-Sea, Lancashire, England','First','0','Died','Southampton','Mexico City, Mexico','','275MB',53.749939,-3.00221
'130','Miss','Dorothy','Winifred','','Gibson','','0','','22','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','7','',40.71455,-74.007124
'131','Mrs.','Pauline','Caroline','','Gibson','Boeson','0','','44','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','7','',40.71455,-74.007124
'132','Mr.','Samuel','L.','','Goldenberg','','0','','47','Paris, France','First','1','Survived','Cherbourg','New York City, New York, USA','5','',48.85693,2.3412
'133','Mrs.','Nella','','','Goldenberg','Wiggins','0','','40','Paris, France','First','1','Survived','Cherbourg','New York City, New York, USA','5','',48.85693,2.3412
'134','Mr.','George','B.','','Goldschmidt','','0','','71','New York City, New York, USA','First','0','Died','Cherbourg','New York City, New York, USA','','',40.71455,-74.007124
'135','Colonel','Archibald','','','Gracie IV','','0','','53','Washington, D.C., USA','First','1','Survived','Southampton','Washington, D.C., USA','B','',38.89037,-77.031959
'136','Miss','Margaret','Edith','','Graham','','0','','19','Greenwich, Connecticut, USA','First','1','Survived','Southampton','Greenwich, Connecticut, USA','3','',41.02525,-73.629619
'137','Mr.','George','Edward','','Graham','','0','','38','Winnipeg, Manitoba, Canada','First','0','Died','Southampton','Winnipeg, Manitoba, Canada','','147MB',49.89944,-97.140794
'138','Mrs.','Edith','Ware','','Graham','Junkins','0','','59','Greenwich, Connecticut, USA','First','1','Survived','Southampton','Greenwich, Connecticut, USA','3','',41.02525,-73.629619
'139','Miss','Elizabeth','Weed','','Shutes','','1','Governess','40','Greenwich, Connecticut, USA','First','1','Survived','Southampton','Greenwich, Connecticut, USA','3','',41.02525,-73.629619
'140','Mr.','William','Bertram','','Greenfield','','0','','23','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','7','',40.71455,-74.007124
'141','Mrs.','Blanche','','','Greenfield','Strouse','0','','45','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','7','',40.71455,-74.007124
'142','Mr.','Benjamin','','','Guggenheim','','0','','46','Paris, France','First','0','Died','Cherbourg','New York City, New York, USA','','',48.85693,2.3412
'143','Mr.','Victor','','','Giglio','','1','Valet','24','Paris, France','First','0','Died','Cherbourg','New York City, New York, USA','','',48.85693,2.3412
'144','Mr.','René','','','Pernot','','1','Chauffeur','39','Paris, France','First','0','Died','Cherbourg','New York City, New York, USA','','',48.85693,2.3412
'145','Mr.','George','Achilles','','Harder','','0','','25','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','5','',40.71455,-74.007124
'146','Mrs.','Dorothy','','','Harder','Annan','0','','21','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','5','',40.71455,-74.007124
'147','Mr.','Henry','Sleeper','','Harper','','0','','48','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','3','',40.71455,-74.007124
'148','Mr.','Hammad','','','Hassab','','1','Dragoman','27','Cairo, Egypt','First','1','Survived','Cherbourg','New York City, New York, USA','3','',30.08374,31.25536
'149','Mrs.','Myna','','','Harper','Haxtun','0','','49','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','3','',40.71455,-74.007124
'150','Mr.','Henry','Birkhardt','','Harris','','0','','45','New York City, New York, USA','First','0','Died','Southampton','New York City, New York, USA','','',40.71455,-74.007124
'151','Mrs.','Irene','','','Harris','Wallach','0','','35','New York City, New York, USA','First','1','Survived','Southampton','New York City, New York, USA','D','',40.71455,-74.007124
'152','Mr.','Walter','James','','Hawksford','','0','','45','Kingston-on-Thames, London, England','First','1','Survived','Southampton','New York City, New York, USA','3','',51.4103,-0.2995
'153','Miss','Margaret','Bechstein','','Hays','','0','','24','New York City, New York, USA','First','1','Survived','Cherbourg','New York City, New York, USA','7','',40.71455,-74.007124
'154','Mr.','Charles','Melville','','Hays','','0','','55','Montreal, Quebec, Canada','First','0','Died','Southampton','Montreal, Quebec, Canada','','307M',45.512303,-73.554431
'155','Mr.','Vivian','Ponsonby','','Payne','','1','Clerk','22','Montreal, Quebec, Canada','First','0','Died','Southampton','Montreal, Quebec, Canada','','',45.512303,-73.554431
'156','Mrs.','Clara','Jennings','','Hays','Grigg','0','','52','Montreal, Quebec, Canada','First','1','Survived','Southampton','Montreal, Quebec, Canada','3','',45.512303,-73.554431
'157','Miss','Mary','Anne','','Perreault','','1','Maid','33','Montreal, Quebec, Canada','First','1','Survived','Southampton','Montreal, Quebec, Canada','3','',45.512303,-73.554431
'158','Mr.','Christopher','','','Head','','0','','42','Chelsea, London, England','First','0','Died','Southampton','New York City, New York, USA','','',51.490139,-0.16248
'159','Mr.','Herbert','Henry','','Hilliard','','0','','44','Brighton, Massachusetts, USA','First','0','Died','Southampton','Brighton, Massachusetts, USA','','',42.349647,-71.153276
'160','Mr.','William','Edward','','Hipkins','','0','','55','Birmingham, West Midlands, England','First','0','Died','Southampton','New York City, New York, USA','','',52.47863,-1.908449
'161','Miss','Jean','Gertrude','','Hippach','','0','','17','Chicago, Illinois, USA','First','1','Survived','Cherbourg','Chicago, Illinois, USA','4','',41.88415,-87.632409
